jrk_template,Phylum,Class,Order,Family,GENUS,COMMENT on genus,primary_lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont,
jrk00178,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Albatrellopsis,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,medium-distance_smooth,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk00179,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Albatrellus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,medium-distance_smooth,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk01278,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Byssoporia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,poroid,medium-distance_smooth,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk09638,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Fevansia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,medium-distance_smooth,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk04435,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Laeticutis,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,polyporoid,poroid,unknown,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk04654,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Leucogaster,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,medium-distance_smooth,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk04661,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Leucophleps,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,medium-distance_smooth,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk05397,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Mycolevis,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,medium-distance_smooth,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk05562,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Neoalbatrellus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,polyporoid,poroid,unknown,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk06862,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Polyporoletus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,poroid,medium-distance_smooth,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
jrk06865,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Polypus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,polyporoid,poroid,unknown,/albatrellus,,,ectomycorrhizal;;;;;filamentous_mycelium
