,sample_names,substrate,site2
1,LV00b,topsoil,LV
2,LV01a,topsoil,LV
3,LV05b,topsoil,LV
4,LV06a,topsoil,LV
5,LV07b,topsoil,LV
6,LV11b,topsoil,LV
7,LV14a,topsoil,LV
8,LV14b,topsoil,LV
9,LV15a,topsoil,LV
10,LV15b,topsoil,LV
11,LV16a,topsoil,LV
12,LV16b,topsoil,LV
13,LV17a,topsoil,LV
14,LV17b,topsoil,LV
15,LV20a,topsoil,LV
16,LV21b,topsoil,LV
17,LV23b,topsoil,LV
18,LV25a,topsoil,LV
19,LV26a,topsoil,LV
20,LV27b,topsoil,LV
21,LV28b,topsoil,LV
22,LVA1,subsoil,LV
23,LVA2,subsoil,LV
24,LVA3,subsoil,LV
25,LVA4,subsoil,LV
26,LVA5,subsoil,LV
27,LVA6,subsoil,LV
28,LVA7,subsoil,LV
29,LVA8,subsoil,LV
30,LVA9,subsoil,LV
31,LVB2,subsoil,LV
32,LVB3,subsoil,LV
33,LVB4,subsoil,LV
34,LW01a,topsoil,LW
35,LW02a,topsoil,LW
36,LW03a,topsoil,LW
37,LW06b,topsoil,LW
38,LW09a,topsoil,LW
39,LW09b,topsoil,LW
40,LW10a,topsoil,LW
41,LW10b,topsoil,LW
42,LW11b,topsoil,LW
43,LW13a,topsoil,LW
44,LW14a,topsoil,LW
45,LW14b,topsoil,LW
46,LW15a,topsoil,LW
47,LW16a,topsoil,LW
48,LW16b,topsoil,LW
49,LW18b,topsoil,LW
50,LW19a,topsoil,LW
51,LW20a,topsoil,LW
52,LW20b,topsoil,LW
53,LW23b,topsoil,LW
54,LW25a,topsoil,LW
55,LW26a,topsoil,LW
56,LW27a,topsoil,LW
57,LW27b,topsoil,LW
58,LW29a,topsoil,LW
59,LWA1,subsoil,LW
60,LWA2,subsoil,LW
61,LWA3,subsoil,LW
62,LWA4,subsoil,LW
63,LWA5,subsoil,LW
64,LWA6,subsoil,LW
65,LWA8,subsoil,LW
66,LWA9,subsoil,LW
67,LWB2,subsoil,LW
68,LWB3,subsoil,LW
69,LWB4,subsoil,LW
70,LWB5,subsoil,LW
71,LZ00b,topsoil,LZ
72,LZ01b,topsoil,LZ
73,LZ03b,topsoil,LZ
74,LZ04a,topsoil,LZ
75,LZ04b,topsoil,LZ
76,LZ09b,topsoil,LZ
77,LZ10a,topsoil,LZ
78,LZ10b,topsoil,LZ
79,LZ11b,topsoil,LZ
80,LZ13a,topsoil,LZ
81,LZ14a,topsoil,LZ
82,LZ16a,topsoil,LZ
83,LZ17a,topsoil,LZ
84,LZ17b,topsoil,LZ
85,LZ21b,topsoil,LZ
86,LZ23b,topsoil,LZ
87,LZ25a,topsoil,LZ
88,LZ26b,topsoil,LZ
89,LZ29a,topsoil,LZ
90,LZ2Xb,topsoil,LZ
91,LZA1,subsoil,LZ
92,LZA2,subsoil,LZ
93,LZA3,subsoil,LZ
94,LZA5,subsoil,LZ
95,LZA6,subsoil,LZ
96,LZA7,subsoil,LZ
97,LZA8,subsoil,LZ
98,LZA9,subsoil,LZ
99,LZB2,subsoil,LZ
100,LZB4,subsoil,LZ
101,LZB5,subsoil,LZ
102,TUE127627,leaf litter,LW
103,TUE127628,leaf litter,LW
104,TUE127629,leaf litter,LW
105,TUE127630,leaf litter,LW
106,TUE127631,leaf litter,LW
107,TUE127632,leaf litter,LW
108,TUE127633,leaf litter,LW
109,TUE127634,leaf litter,LW
110,TUE127635,leaf litter,LW
111,TUE127636,leaf litter,LW
112,TUE127637,leaf litter,LW
113,TUE127638,leaf litter,LW
114,TUE127639,leaf litter,LW
115,TUE127641,bark,LW
116,TUE127642,bark,LW
117,TUE127643,bark,LW
118,TUE127644,bark,LW
119,TUE127645,bark,LW
120,TUE127646,bark,LW
121,TUE127647,bark,LW
122,TUE127648,bark,LW
123,TUE127649,bark,LW
124,TUE127650,bark,LW
125,TUE127651,bark,LW
126,TUE127652,bark,LW
127,TUE127653,bark,LW
128,TUE127654,wood,LW
129,TUE127655,wood,LW
130,TUE127656,wood,LW
131,TUE127657,wood,LW
132,TUE127658,wood,LW
133,TUE127659,wood,LW
134,TUE127660,wood,LW
135,TUE127661,wood,LW
136,TUE127662,wood,LW
137,TUE127663,wood,LW
138,TUE127664,wood,LW
139,TUE127665,wood,LW
140,TUE127666,wood,LW
141,TUE127667,wood,LW
142,TUE127668,lichen,LW
143,TUE127669,lichen,LW
144,TUE127670,lichen,LW
145,TUE127671,lichen,LW
146,TUE127672,lichen,LW
147,TUE127673,lichen,LW
148,TUE127674,lichen,LW
149,TUE127675,lichen,LW
150,TUE127676,lichen,LW
151,TUE127677,lichen,LW
152,TUE127678,lichen,LW
153,TUE127679,lichen,LW
154,TUE127680,lichen,LW
155,TUE127681,lichen,LW
156,TUE127682,moss,LW
157,TUE127683,moss,LW
158,TUE127684,moss,LW
159,TUE127685,moss,LW
160,TUE127686,moss,LW
161,TUE127687,moss,LW
162,TUE127689,moss,LW
163,TUE127690,moss,LW
164,TUE127691,moss,LW
165,TUE127692,moss,LW
166,TUE127693,moss,LW
167,TUE127694,moss,LW
168,TUE127695,moss,LW
169,TUE127696,fruit body,LW
170,TUE127697,fruit body,LW
171,TUE127698,fruit body,LW
172,TUE127699,fruit body,LW
173,TUE127700,fruit body,LW
174,TUE127701,fruit body,LW
175,TUE127702,fruit body,LW
176,TUE127703,fruit body,LW
177,TUE127704,fruit body,LW
178,TUE127705,fruit body,LW
179,TUE127706,fruit body,LW
180,TUE127707,fruit body,LW
181,TUE127708,fruit body,LW
182,TUE127710,leaves,LW
183,TUE127711,leaves,LW
184,TUE127712,leaves,LW
185,TUE127714,leaves,LW
186,TUE127715,leaves,LW
187,TUE127716,leaves,LW
188,TUE127717,leaves,LW
189,TUE127718,leaves,LW
190,TUE127719,leaves,LW
191,TUE127720,leaves,LW
192,TUE127721,leaves,LW
193,TUE127722,leaves,LW
194,TUE127723,leaf litter,LZ
195,TUE127724,leaf litter,LZ
196,TUE127725,leaf litter,LZ
197,TUE127726,leaf litter,LZ
198,TUE127727,leaf litter,LZ
199,TUE127728,leaf litter,LZ
200,TUE127729,leaf litter,LZ
201,TUE127730,leaf litter,LZ
202,TUE127731,leaf litter,LZ
203,TUE127732,leaf litter,LZ
204,TUE127733,leaf litter,LZ
205,TUE127734,leaf litter,LZ
206,TUE127735,leaf litter,LZ
207,TUE127736,leaf litter,LZ
208,TUE127738,bark,LZ
209,TUE127739,bark,LZ
210,TUE127740,bark,LZ
211,TUE127741,bark,LZ
212,TUE127742,bark,LZ
213,TUE127743,bark,LZ
214,TUE127744,bark,LZ
215,TUE127745,bark,LZ
216,TUE127746,bark,LZ
217,TUE127747,bark,LZ
218,TUE127748,bark,LZ
219,TUE127749,bark,LZ
220,TUE127750,bark,LZ
221,TUE127751,wood,LZ
222,TUE127752,wood,LZ
223,TUE127753,wood,LZ
224,TUE127754,wood,LZ
225,TUE127755,wood,LZ
226,TUE127756,wood,LZ
227,TUE127757,wood,LZ
228,TUE127758,wood,LZ
229,TUE127759,wood,LZ
230,TUE127760,wood,LZ
231,TUE127761,wood,LZ
232,TUE127762,wood,LZ
233,TUE127763,wood,LZ
234,TUE127764,wood,LZ
235,TUE127765,lichen,LZ
236,TUE127766,lichen,LZ
237,TUE127767,lichen,LZ
238,TUE127768,lichen,LZ
239,TUE127769,lichen,LZ
240,TUE127770,lichen,LZ
241,TUE127771,lichen,LZ
242,TUE127772,lichen,LZ
243,TUE127773,lichen,LZ
244,TUE127774,lichen,LZ
245,TUE127775,lichen,LZ
246,TUE127776,lichen,LZ
247,TUE127777,lichen,LZ
248,TUE127778,lichen,LZ
249,TUE127779,moss,LZ
250,TUE127781,moss,LZ
251,TUE127783,moss,LZ
252,TUE127784,moss,LZ
253,TUE127786,moss,LZ
254,TUE127787,moss,LZ
255,TUE127788,moss,LZ
256,TUE127789,moss,LZ
257,TUE127790,moss,LZ
258,TUE127791,moss,LZ
259,TUE127792,moss,LZ
260,TUE127793,fruit body,LZ
261,TUE127794,fruit body,LZ
262,TUE127795,fruit body,LZ
263,TUE127796,fruit body,LZ
264,TUE127797,fruit body,LZ
265,TUE127798,fruit body,LZ
266,TUE127799,fruit body,LZ
267,TUE127800,fruit body,LZ
268,TUE127801,fruit body,LZ
269,TUE127802,fruit body,LZ
270,TUE127803,fruit body,LZ
271,TUE127804,fruit body,LZ
272,TUE127805,fruit body,LZ
273,TUE127806,fruit body,LZ
274,TUE127807,leaves,LZ
275,TUE127808,leaves,LZ
276,TUE127809,leaves,LZ
277,TUE127811,leaves,LZ
278,TUE127812,leaves,LZ
279,TUE127813,leaves,LZ
280,TUE127814,leaves,LZ
281,TUE127816,leaves,LZ
282,TUE127817,leaves,LZ
283,TUE127819,leaves,LZ
284,TUE127821,leaf litter,LV
285,TUE127822,leaf litter,LV
286,TUE127823,leaf litter,LV
287,TUE127824,leaf litter,LV
288,TUE127825,leaf litter,LV
289,TUE127826,leaf litter,LV
290,TUE127827,leaf litter,LV
291,TUE127828,leaf litter,LV
292,TUE127829,leaf litter,LV
293,TUE127830,leaf litter,LV
294,TUE127831,leaf litter,LV
295,TUE127832,leaf litter,LV
296,TUE127833,leaf litter,LV
297,TUE127834,leaf litter,LV
298,TUE127836,bark,LV
299,TUE127837,bark,LV
300,TUE127838,bark,LV
301,TUE127839,bark,LV
302,TUE127840,bark,LV
303,TUE127841,bark,LV
304,TUE127842,bark,LV
305,TUE127843,bark,LV
306,TUE127844,bark,LV
307,TUE127845,bark,LV
308,TUE127846,bark,LV
309,TUE127847,bark,LV
310,TUE127848,bark,LV
311,TUE127849,wood,LV
312,TUE127850,wood,LV
313,TUE127851,wood,LV
314,TUE127852,wood,LV
315,TUE127853,wood,LV
316,TUE127854,wood,LV
317,TUE127855,wood,LV
318,TUE127856,wood,LV
319,TUE127857,wood,LV
320,TUE127858,wood,LV
321,TUE127859,wood,LV
322,TUE127860,wood,LV
323,TUE127861,wood,LV
324,TUE127862,wood,LV
325,TUE127863,lichen,LV
326,TUE127864,lichen,LV
327,TUE127865,lichen,LV
328,TUE127866,lichen,LV
329,TUE127867,lichen,LV
330,TUE127868,lichen,LV
331,TUE127869,lichen,LV
332,TUE127870,lichen,LV
333,TUE127871,lichen,LV
334,TUE127872,lichen,LV
335,TUE127873,lichen,LV
336,TUE127874,lichen,LV
337,TUE127875,lichen,LV
338,TUE127876,lichen,LV
339,TUE127877,moss,LV
340,TUE127878,moss,LV
341,TUE127879,moss,LV
342,TUE127880,moss,LV
343,TUE127881,moss,LV
344,TUE127882,moss,LV
345,TUE127885,moss,LV
346,TUE127886,moss,LV
347,TUE127887,moss,LV
348,TUE127888,moss,LV
349,TUE127889,moss,LV
350,TUE127890,moss,LV
351,TUE127891,fruit body,LV
352,TUE127892,fruit body,LV
353,TUE127893,fruit body,LV
354,TUE127895,fruit body,LV
355,TUE127896,fruit body,LV
356,TUE127897,fruit body,LV
357,TUE127898,fruit body,LV
358,TUE127899,fruit body,LV
359,TUE127900,fruit body,LV
360,TUE127901,fruit body,LV
361,TUE127902,fruit body,LV
362,TUE127903,fruit body,LV
363,TUE127904,fruit body,LV
364,TUE127905,leaves,LV
365,TUE127906,leaves,LV
366,TUE127908,leaves,LV
367,TUE127909,leaves,LV
368,TUE127910,leaves,LV
369,TUE127911,leaves,LV
370,TUE127912,leaves,LV
371,TUE127914,leaves,LV
372,TUE127915,leaves,LV
373,TUE127916,leaves,LV
374,TUE127917,leaves,LV
375,TUE127918,leaves,LV
376,TUE127919,feces,LV
377,TUE127920,feces,LV
378,TUE127921,feces,LV
379,TUE127922,feces,LV
380,TUE127923,feces,LV
381,TUE127924,feces,LV
382,TUE127925,feces,LV
383,TUE127926,feces,LV
384,TUE127927,feces,LV
385,TUE127928,feces,LV
386,TUE127929,feces,LV
387,TUE127930,feces,LV
388,TUE127931,feces,LV
389,TUE127932,feces,LZ
390,TUE127933,feces,LZ
391,TUE127934,feces,LZ
392,TUE127935,feces,LZ
393,TUE127936,feces,LZ
394,TUE127937,feces,LZ
395,TUE127938,feces,LZ
396,TUE127939,feces,LZ
397,TUE127940,feces,LZ
398,TUE127941,feces,LZ
399,TUE127942,feces,LZ
400,TUE127944,feces,LZ
401,TUE127945,feces,LZ
402,TUE127946,feces,LZ
403,TUE127947,feces,LW
404,TUE127948,feces,LW
405,TUE127949,feces,LW
406,TUE127950,feces,LW
407,TUE127951,feces,LW
408,TUE127952,feces,LW
409,TUE127953,feces,LW
410,TUE127954,feces,LW
411,TUE127955,feces,LW
412,TUE127956,feces,LW
413,TUE127957,feces,LW
414,TUE127958,feces,LW
415,TUE127959,feces,LW
416,unknown1,snow,LZ
417,unknown10,snow,LZ
418,unknown11,snow,LZ
419,unknown13,snow,LZ
420,unknown14,snow,LW
421,unknown15,snow,LW
422,unknown16,snow,LW
423,unknown17,snow,LW
424,unknown18,snow,LW
425,unknown19,snow,LW
426,unknown2,snow,LZ
427,unknown20,snow,LW
428,unknown21,snow,LW
429,unknown22,snow,LW
430,unknown24,snow,LW
431,unknown25,snow,LW
432,unknown26,snow,LW
433,unknown27,snow,LV
434,unknown28,snow,LV
435,unknown29,snow,LV
436,unknown3,snow,LZ
437,unknown30,snow,LV
438,unknown31,snow,LV
439,unknown32,snow,LV
440,unknown33,snow,LV
441,unknown34,snow,LV
442,unknown35,snow,LV
443,unknown36,snow,LV
444,unknown37,snow,LV
445,unknown38,snow,LV
446,unknown39,snow,LV
447,unknown4,snow,LZ
448,unknown5,snow,LZ
449,unknown6,snow,LZ
450,unknown7,snow,LZ
451,unknown8,snow,LZ
452,TUE127894,fruit body,LV
453,TUE127709,fruit body,LW
